Unnamed: 0,identifier,system,cpu,ram,gpu_name,gpu_ram,workers,threads,concurrency,total_response,total_response(S),avg_time(S),min_time(S),75_percentile(S),90_percentile(S),max_time(S),total_errors(E),error_codes(E),avg_time(E),min_time,max_time,all_req_completion_time
0,Instance1_w_8_t_32_con_9,linux-deb,16,54,NVIDIA L4,23,8,32,9,250,231,6.985324675324674,3.42,6.94,10.34,21.29,19,[503],5.351578947368421,2.56,13.64,192.37
1,Instance1_w_8_t_32_con_8,linux-deb,16,54,NVIDIA L4,23,8,32,8,250,247,6.312955465587043,3.53,6.55,6.742,11.87,3,[503],5.296666666666667,4.41,5.83,198.49
2,Instance1_w_8_t_32_con_12,linux-deb,16,54,NVIDIA L4,23,8,32,12,250,214,8.88556074766355,3.64,11.0125,14.835,26.3,36,[503],8.583333333333334,1.82,19.14,190.73
3,Instance1_w_8_t_32_con_10,linux-deb,16,54,NVIDIA L4,23,8,32,10,250,219,7.387077625570776,3.83,8.495000000000001,11.984,20.93,31,[503],7.755806451612904,1.39,20.55,191.12
4,Instance1_w_8_t_32_con_11,linux-deb,16,54,NVIDIA L4,23,8,32,11,250,217,8.078479262672811,4.0,10.04,13.12,23.82,33,[503],8.326969696969698,2.46,24.7,187.76
5,Instance1_w_8_t_32_con_5,linux-deb,16,54,NVIDIA L4,23,8,32,5,250,250,4.11224,3.07,4.26,4.35,4.51,0,[],,,,206.81
6,Instance1_w_8_t_32_con_4,linux-deb,16,54,NVIDIA L4,23,8,32,4,250,250,3.41588,2.9,3.5375,3.581,5.76,0,[],,,,214.51
7,Instance1_w_8_t_32_con_6,linux-deb,16,54,NVIDIA L4,23,8,32,6,250,250,4.80756,4.34,4.95,5.051,5.48,0,[],,,,200.91
8,Instance1_w_8_t_32_con_7,linux-deb,16,54,NVIDIA L4,23,8,32,7,250,249,5.5280722891566265,3.74,5.74,5.822,11.33,1,[503],17.04,17.04,17.04,199.82
9,Instance1_w_8_t_32_con_3,linux-deb,16,54,NVIDIA L4,23,8,32,3,250,250,2.91492,2.36,2.99,3.04,3.28,0,[],,,,244.49
10,Instance1_w_8_t_32_con_2,linux-deb,16,54,NVIDIA L4,23,8,32,2,250,250,2.5614799999999995,2.37,2.6375,2.69,2.87,0,[],,,,321.0
11,Instance1_w_8_t_32_con_1,linux-deb,16,54,NVIDIA L4,23,8,32,1,250,250,2.4911600000000003,2.24,2.56,2.66,3.48,0,[],,,,622.89
0,Instance2_w_10_t_16_con_3,linux-deb,16,54,NVIDIA L4,23,10,16,3,250,250,2.8326400000000005,2.56,2.91,2.97,3.07,0,[],,,,237.7
1,Instance2_w_10_t_16_con_7,linux-deb,16,54,NVIDIA L4,23,10,16,7,250,250,5.517,2.77,5.7075,5.79,9.41,0,[],,,,198.77
2,Instance2_w_10_t_16_con_6,linux-deb,16,54,NVIDIA L4,23,10,16,6,250,250,4.76908,3.29,4.93,4.971,8.39,0,[],,,,200.0
3,Instance2_w_10_t_16_con_4,linux-deb,16,54,NVIDIA L4,23,10,16,4,250,250,3.3491999999999997,2.62,3.4575,3.521,3.81,0,[],,,,210.26
4,Instance2_w_10_t_16_con_5,linux-deb,16,54,NVIDIA L4,23,10,16,5,250,250,4.04856,3.52,4.18,4.29,4.47,0,[],,,,203.22
5,Instance2_w_10_t_16_con_8,linux-deb,16,54,NVIDIA L4,23,10,16,8,250,248,6.2710080645161295,4.16,6.47,6.56,6.8,2,[503],6.37,6.12,6.62,197.46
6,Instance2_w_10_t_16_con_9,linux-deb,16,54,NVIDIA L4,23,10,16,9,250,248,6.958024193548388,4.08,7.24,7.303,12.23,2,[503],3.02,2.87,3.17,194.01
7,Instance2_w_10_t_16_con_10,linux-deb,16,54,NVIDIA L4,23,10,16,10,250,242,7.733801652892562,4.61,7.99,8.22,19.98,8,[503],5.3975,2.77,8.71,192.98
0,Instance2_w_8_t_16_con_6,linux-deb,16,54,NVIDIA L4,23,8,16,6,250,250,4.771599999999999,3.49,4.9375,5.03,5.27,0,[],,,,200.13
1,Instance2_w_8_t_16_con_7,linux-deb,16,54,NVIDIA L4,23,8,16,7,250,249,5.567469879518072,3.63,5.75,5.854,9.62,1,[503],5.84,5.84,5.84,200.14
2,Instance2_w_8_t_16_con_5,linux-deb,16,54,NVIDIA L4,23,8,16,5,250,250,4.131200000000001,2.66,4.26,4.331,4.74,0,[],,,,207.81
3,Instance2_w_8_t_16_con_4,linux-deb,16,54,NVIDIA L4,23,8,16,4,250,250,3.4531600000000005,2.76,3.57,3.701,3.8,0,[],,,,217.13
4,Instance2_w_8_t_16_con_1,linux-deb,16,54,NVIDIA L4,23,8,16,1,250,250,2.4243200000000003,2.2,2.51,2.56,2.86,0,[],,,,606.21
5,Instance2_w_8_t_16_con_3,linux-deb,16,54,NVIDIA L4,23,8,16,3,250,250,2.9686399999999997,2.39,3.0075,3.07,3.18,0,[],,,,249.04
6,Instance2_w_8_t_16_con_2,linux-deb,16,54,NVIDIA L4,23,8,16,2,250,250,2.5742800000000003,2.36,2.62,2.66,4.91,0,[],,,,323.1
7,Instance2_w_8_t_16_con_8,linux-deb,16,54,NVIDIA L4,23,8,16,8,250,243,6.179012345679013,3.71,6.4,6.548,15.53,7,[503],4.015714285714286,2.05,5.69,192.56
0,Instance2_w_14_t_16_con_3,linux-deb,16,54,NVIDIA L4,23,14,16,3,250,250,2.93284,2.35,3.0,3.04,3.16,0,[],,,,245.98
1,Instance2_w_14_t_16_con_2,linux-deb,16,54,NVIDIA L4,23,14,16,2,250,250,2.5513600000000003,2.4,2.6,2.66,2.76,0,[],,,,319.01
2,Instance2_w_14_t_16_con_14,linux-deb,16,54,NVIDIA L4,23,14,16,14,250,204,9.290833333333332,4.71,9.53,13.760000000000003,26.57,46,[503],11.090217391304346,1.66,33.37,175.06
3,Instance2_w_14_t_16_con_10,linux-deb,16,54,NVIDIA L4,23,14,16,10,250,247,7.763846153846155,6.36,7.995,8.074,14.0,3,[503],7.596666666666667,7.18,8.3,194.87
